City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
471,La Macarena,CO,77.77,broken clouds,2.1837,-73.7849,Hotel Punto Verde
480,Payyannur,IN,78.24,overcast clouds,12.1,75.2,Kavvayi Beach House
489,Biak,ID,75.58,broken clouds,-0.9131,122.8766,Penginapan Kim
491,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
493,Pacifica,US,76.33,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
497,Soure,BR,79.3,moderate rain,-0.7167,-48.5233,Casarão
505,San Jose,US,76.48,few clouds,37.3394,-121.895,The Westin San Jose
506,Sorong,ID,78.87,overcast clouds,-0.8833,131.25,waigo splash hotel
509,Mahibadhoo,MV,83.88,overcast clouds,3.7833,72.9667,Omadhoo Inn
510,Hobyo,SO,78.76,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
515,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
516,Itupiranga,BR,84.52,scattered clouds,-5.1347,-49.3267,Hotel Panorama
518,Samarai,PG,79.72,overcast clouds,-10.6167,150.6667,Nuli Sapi
519,Loandjili,CG,77.31,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
524,Riberalta,BO,75.4,overcast clouds,-10.9833,-66.1,Hotel Colonial
530,Luwuk,ID,76.17,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
533,Mannarakkat,IN,80.26,overcast clouds,10.9833,76.4667,The Park Residency
537,Thinadhoo,MV,82.94,overcast clouds,0.5333,72.9333,
541,San Carlos,VE,82.18,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
543,Houston,US,75.92,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
544,Senador Guiomard,BR,83.95,broken clouds,-10.1522,-67.7392,Paraíso Hotel
547,Beyneu,KZ,78.6,clear sky,45.3167,55.2,NUR
557,Mozarlandia,BR,81.55,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
559,Melaka,MY,78.85,overcast clouds,2.1959999999999997,102.2405,Hatten Hotel Melaka
560,Auki,SB,76.86,light rain,-8.7676,160.7034,Auki Motel
561,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
565,Narayangarh,IN,76.89,scattered clouds,30.4833,77.1333,Hotel Paris
567,Axim,GH,79.77,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
568,Kudahuvadhoo,MV,83.66,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
579,Ratnagiri,IN,82.98,scattered clouds,16.9833,73.3,Hotel Landmark
580,El Bagre,CO,82.94,overcast clouds,7.5927,-74.8086,Hotel Real
582,El Tigre,VE,84.63,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
585,Humberto De Campos,BR,78.12,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
588,Sao Geraldo Do Araguaia,BR,79.83,broken clouds,-6.4006,-48.555,SOLAR DO BARROSO
590,Kilindoni,TZ,79.93,scattered clouds,-7.9139,39.6668,Bustani B&B
591,Pak Phanang,TH,80.02,overcast clouds,8.3511,100.20200000000001,Green Park Inn Hotel
595,Hazro,PK,76.28,broken clouds,33.9091,72.4921,حمزہ ٹینٹ سروس اینڈ مکہ پنسار و ڈرائی فروٹ
596,Port Blair,IN,81.93,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
599,Mumford,GH,79.75,broken clouds,5.2618,-0.759,Spanish Villa
602,Ugoofaaru,MV,83.84,overcast clouds,5.6667,73.0,Ungoofaaru Inn
603,Poso,ID,77.07,broken clouds,-1.3959,120.7524,Hotel 77 Poso
605,Pagudpud,PH,80.65,clear sky,18.5616,120.7868,Saud Beach Resort and Hotel - 2
606,Aracaju,BR,78.75,few clouds,-10.9111,-37.0717,HOTEL FÊNIX
608,Mocoa,CO,77.5,broken clouds,1.1493,-76.6466,selvamorena
623,Alyangula,AU,76.28,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
625,Kalmunai,LK,79.57,overcast clouds,7.4167,81.8167,VS Villa
626,Laguna,US,81.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
629,Seguela,CI,78.82,broken clouds,7.9611,-6.6731,Hotel le Carrefour
635,Port-Gentil,GA,79.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
642,Knysna,ZA,77.38,broken clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
645,Upata,VE,80.98,overcast clouds,8.0086,-62.3989,Posada Villa Nela
650,Banda Aceh,ID,81.23,overcast clouds,5.5577,95.3222,Sulthan Hotel International
652,Key West,US,82.0,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
657,Razole,IN,83.86,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
660,Pacific Grove,US,75.15,clear sky,36.6177,-121.9166,Lovers Point Inn
662,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
668,Aitape,PG,79.32,light rain,-3.1374,142.3475,
